,user_screen_name,user_id,user_is_verified,retweeted_from_screen_name,retweeted_from_id,retweeted_from_is_verified,screen_name_mention_1,id_mention_1,in_reply_to_screen_name,in_reply_to_user_id,created_at,id,text
90,rhannavic,503373992,False,,0,,heynoartlov,4808885915,heynoartlov,4808885915,2020-11-03 23:06:24,1323763486984425480,@heynoartlov https://t.co/nxLSpGPWKx aquiiiii
91,m_vitta,190473341,False,jurandirfilho,8703862,False,jurandirfilho,8703862,0,0,2020-11-03 23:06:22,1323763479740899332,"RT @jurandirfilho: A @DisneyPlusBR vai chegar ao Brasil chutando a porta! Já abriu a pré-venda no https://t.co/ojI66UrQwu, anunciou parceri…"
92,TadeumOliveira,870676249617870849,False,jurandirfilho,8703862,False,jurandirfilho,8703862,0,0,2020-11-03 23:05:27,1323763247640621058,"RT @jurandirfilho: A @DisneyPlusBR vai chegar ao Brasil chutando a porta! Já abriu a pré-venda no https://t.co/ojI66UrQwu, anunciou parceri…"
93,82_cibele,1206312294403256321,False,,0,,,0,0,0,2020-11-03 23:05:22,1323763227885477888,Só agora a #globoplay ?! Eu fiz a assinatura da #DisneyPlus antes de divulgarem a junção #GloboplayeDisneyPlus awn 😱 https://t.co/5e3TFsWGEW
94,NilsonOPPereira,1058901827750690821,False,jurandirfilho,8703862,False,jurandirfilho,8703862,0,0,2020-11-03 23:05:21,1323763224597172224,"RT @jurandirfilho: A @DisneyPlusBR vai chegar ao Brasil chutando a porta! Já abriu a pré-venda no https://t.co/ojI66UrQwu, anunciou parceri…"
95,eudahan,4330786047,False,jurandirfilho,8703862,False,jurandirfilho,8703862,0,0,2020-11-03 23:04:52,1323763102727442433,"RT @jurandirfilho: A @DisneyPlusBR vai chegar ao Brasil chutando a porta! Já abriu a pré-venda no https://t.co/ojI66UrQwu, anunciou parceri…"
96,LovztoRuins,2777259895,False,BwayMeme,3048169227,False,BwayMeme,3048169227,0,0,2020-11-03 23:04:49,1323763089171451905,"RT @BwayMeme: 🚨O Disney+ (com seu vasto catalogo musical) liberou a pré-assinatura!

O pacote anual está em oferta por R$ 237,90 (R$ 19,82…"
97,YonahSantos1,1323508103732727809,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-03 23:02:59,1323762629878435840,"RT @DisneyPlusBR: A vida é cheia de possibilidades, você só precisa saber para onde olhar. Assista ao trailer de #Soul, o novo filme da Dis…"
98,whoiswenz,795802693952565248,False,,0,,,0,0,0,2020-11-03 23:02:46,1323762573695746051,GLOBOPLAY COM DISNEYPLUS QUE HISTORIA É ESSA
99,fabricio999999,21342548,False,jurandirfilho,8703862,False,jurandirfilho,8703862,0,0,2020-11-03 23:02:34,1323762522047062016,"RT @jurandirfilho: A @DisneyPlusBR vai chegar ao Brasil chutando a porta! Já abriu a pré-venda no https://t.co/ojI66UrQwu, anunciou parceri…"
